VaccinationDate,age_group,first_dose,second_dose,third_dose,fourth_dose
2021-02-23,40-49,11652,13067,0,0
2021-02-23,60-69,3686,2892,0,0
2021-02-23,80-89,848,890,0,0
2021-02-23,70-79,1864,1703,0,0
2021-02-23,90+,157,229,0,0
2021-02-23,0-19,8463,9138,0,0
2021-02-23,50-59,6985,6596,0,0
2021-02-23,20-29,23953,16277,0,0
2021-02-23,30-39,19679,19639,0,0
2021-02-24,20-29,18793,15897,0,0
2021-02-24,0-19,6844,7825,0,0
2021-02-24,70-79,1574,1591,0,0
2021-02-24,40-49,9286,10940,0,0
2021-02-24,90+,157,196,0,0
2021-02-24,50-59,5515,5871,0,0
2021-02-24,60-69,2959,2712,0,0
2021-02-24,80-89,710,826,0,0
2021-02-24,30-39,15179,17229,0,0
2021-02-25,90+,142,164,0,0
2021-02-25,40-49,8292,10286,0,0
2021-02-25,70-79,1247,1254,0,0
2021-02-25,60-69,2663,2318,0,0
2021-02-25,30-39,12934,20724,0,0
2021-02-25,50-59,5100,5369,0,0
2021-02-25,20-29,15282,18354,0,0
2021-02-25,80-89,624,662,0,0
2021-02-25,0-19,5400,5625,0,0
2021-02-26,90+,51,67,0,0
2021-02-26,70-79,541,544,0,0
2021-02-26,50-59,2608,2739,0,0
2021-02-26,20-29,7515,8692,0,0
2021-02-26,60-69,1204,1086,0,0
2021-02-26,40-49,4297,5336,0,0
2021-02-26,0-19,2649,2729,0,0
2021-02-26,80-89,292,249,0,0
2021-02-26,30-39,6711,10561,0,0
2021-02-27,90+,17,34,0,0
2021-02-27,50-59,1729,1607,0,0
2021-02-27,0-19,2530,1964,0,0
2021-02-27,60-69,743,563,0,0
2021-02-27,70-79,344,273,0,0
2021-02-27,20-29,5762,6530,0,0
2021-02-27,40-49,2875,3171,0,0
2021-02-27,80-89,144,128,0,0
2021-02-27,30-39,4168,6910,0,0
2021-02-28,90+,94,170,0,0
2021-02-28,40-49,6410,8631,0,0
2021-02-28,50-59,3838,4534,0,0
2021-02-28,60-69,2166,2082,0,0
2021-02-28,70-79,1121,1141,0,0
2021-02-28,30-39,9912,17102,0,0
2021-02-28,0-19,4845,4951,0,0
2021-02-28,80-89,543,594,0,0
2021-02-28,20-29,11390,16641,0,0
2021-03-01,80-89,628,618,0,0
2021-03-01,70-79,1346,1167,0,0
2021-03-01,20-29,13048,20669,0,0
2021-03-01,50-59,4525,4537,0,0
2021-03-01,60-69,2627,2188,0,0
2021-03-01,90+,129,143,0,0
2021-03-01,30-39,11159,18955,0,0
2021-03-01,0-19,5075,4937,0,0
2021-03-01,40-49,7156,8188,0,0
2021-03-02,20-29,11496,22079,0,0
2021-03-02,0-19,4288,4878,0,0
2021-03-02,90+,121,223,0,0
2021-03-02,50-59,4373,5125,0,0
2021-03-02,80-89,574,651,0,0
2021-03-02,30-39,9516,19092,0,0
2021-03-02,60-69,2815,2435,0,0
2021-03-02,40-49,6499,9053,0,0
2021-03-02,70-79,1440,1211,0,0
2021-03-03,90+,131,183,0,0
2021-03-03,50-59,4446,5551,0,0
2021-03-03,80-89,642,620,0,0
2021-03-03,40-49,6553,9174,0,0
2021-03-03,60-69,2857,2669,0,0
2021-03-03,20-29,11603,22782,0,0
2021-03-03,30-39,9307,19345,0,0
2021-03-03,70-79,1551,1314,0,0
2021-03-03,0-19,4865,5096,0,0
2021-03-04,50-59,4356,6710,0,0
2021-03-04,30-39,9057,22833,0,0
2021-03-04,80-89,519,639,0,0
2021-03-04,90+,107,143,0,0
2021-03-04,70-79,1231,1422,0,0
2021-03-04,0-19,4466,6146,0,0
2021-03-04,40-49,6411,11552,0,0
2021-03-04,60-69,2566,3106,0,0
2021-03-04,20-29,10941,26516,0,0
2021-03-05,80-89,208,269,0,0
2021-03-05,40-49,2956,6203,0,0
2021-03-05,30-39,4053,11756,0,0
2021-03-05,70-79,503,634,0,0
2021-03-05,20-29,4748,13611,0,0
2021-03-05,60-69,1032,1468,0,0
2021-03-05,0-19,1772,3012,0,0
2021-03-05,50-59,1996,3418,0,0
